table,column,type,constraint,description
tenant,tenant_id,uuid,PK,기관/테넌트 ID
tenant,tenant_code,varchar(30),"UK,NN",기관 코드
tenant,tenant_name,varchar(200),NN,기관명
tenant,status,varchar(20),"NN,CHECK",ACTIVE/SUSPENDED
tenant,timezone,varchar(50),NN,Asia/Seoul
tenant,created_at,timestamptz,NN,생성일시
tenant,updated_at,timestamptz,NN,수정일시
organization,organization_id,uuid,PK,조직 ID
organization,tenant_id,uuid,"FK,NN",기관
organization,parent_id,uuid,FK,상위조직
organization,org_code,varchar(50),NN,조직코드
organization,org_name,varchar(200),NN,조직명
organization,org_path,ltree/text,NN,계층경로
organization,sort_order,int,NN,정렬
organization,status,varchar(20),NN,상태
organization,version_no,int,NN,낙관잠금
app_user,user_id,uuid,PK,사용자
app_user,tenant_id,uuid,"FK,NN",기관
app_user,external_user_id,varchar(100),UK,T3Q 외부 사용자 ID
app_user,login_id,varchar(100),NN,로그인 ID
app_user,display_name,varchar(100),NN,성명
app_user,organization_id,uuid,FK,소속
app_user,email_enc,bytea,-,암호화 이메일
app_user,phone_enc,bytea,-,암호화 전화번호
app_user,status,varchar(20),NN,상태
app_user,last_login_at,timestamptz,-,최근 로그인
role,role_id,uuid,PK,역할
role,tenant_id,uuid,FK,NULL이면 시스템 역할
role,role_code,varchar(60),NN,역할코드
role,role_name,varchar(120),NN,역할명
role,scope_type,varchar(30),NN,SYSTEM/TENANT/OBJECT
role,is_system,boolean,NN,시스템 역할
role,version_no,int,NN,버전
permission,permission_id,uuid,PK,권한
permission,permission_code,varchar(80),"UK,NN",권한코드
permission,resource_type,varchar(40),NN,자원
permission,action,varchar(40),NN,행위
permission,description,varchar(300),-,설명
user_role,user_role_id,uuid,PK,Binding
user_role,user_id,uuid,"FK,NN",사용자
user_role,role_id,uuid,"FK,NN",역할
user_role,scope_id,uuid,-,기관/객체 범위
user_role,valid_from,timestamptz,-,유효시작
user_role,valid_to,timestamptz,-,유효종료
user_role,granted_by,uuid,"FK,NN",부여자
user_role,created_at,timestamptz,NN,부여일시
user_session,session_id,uuid,PK,세션
user_session,user_id,uuid,"FK,NN",사용자
user_session,refresh_hash,char(64),NN,Refresh Token hash
user_session,issued_at,timestamptz,NN,발급
user_session,expires_at,timestamptz,NN,만료
user_session,revoked_at,timestamptz,-,폐기
user_session,client_ip,inet,-,IP
user_session,user_agent,text,-,UA
plan,plan_id,uuid,PK,계획서
plan,tenant_id,uuid,"FK,NN",기관
plan,title,varchar(300),NN,문서명
plan,hazard_type,varchar(50),NN,재난유형
plan,management_phase,varchar(20),NN,예방/대비
plan,status,varchar(30),NN,상태
plan,document_id,uuid,FK,편집문서
plan,current_context_snapshot_id,uuid,FK,현재 기준정보
plan,current_toc_version_id,uuid,FK,현재 목차
plan,owner_id,uuid,"FK,NN",소유자
plan,version_no,int,NN,낙관잠금
plan,deleted_at,timestamptz,-,휴지통
plan_context_draft,context_draft_id,uuid,PK,임시 기준정보
plan_context_draft,plan_id,uuid,"FK,NN",계획서
plan_context_draft,context_json,jsonb,NN,입력값
plan_context_draft,schema_version,varchar(20),NN,Schema 버전
plan_context_draft,updated_by,uuid,"FK,NN",수정자
plan_context_draft,updated_at,timestamptz,NN,수정일시
plan_context_snapshot,context_snapshot_id,uuid,PK,확정 Snapshot
plan_context_snapshot,plan_id,uuid,"FK,NN",계획서
plan_context_snapshot,version_no,int,NN,버전
plan_context_snapshot,context_json,jsonb,NN,불변 기준정보
plan_context_snapshot,content_hash,char(64),NN,SHA-256
plan_context_snapshot,supersedes_id,uuid,FK,이전 Snapshot
plan_context_snapshot,confirmed_by,uuid,"FK,NN",확정자
plan_context_snapshot,confirmed_at,timestamptz,NN,확정일시
toc_version,toc_version_id,uuid,PK,목차 버전
toc_version,plan_id,uuid,"FK,NN",계획서
toc_version,version_no,int,NN,버전
toc_version,source_type,varchar(20),NN,AI/USER
toc_version,base_snapshot_id,uuid,"FK,NN",기준 Snapshot
toc_version,status,varchar(20),NN,DRAFT/CONFIRMED
toc_version,content_hash,char(64),NN,해시
toc_version,created_by,uuid,"FK,NN",작성자
toc_version,created_at,timestamptz,NN,생성
toc_node,toc_node_id,uuid,PK,목차노드
toc_node,toc_version_id,uuid,"FK,NN",버전
toc_node,parent_node_id,uuid,FK,부모
toc_node,node_key,varchar(80),NN,안정 ID
toc_node,title,varchar(500),NN,제목
toc_node,level,smallint,NN,계층
toc_node,sort_order,int,NN,순서
toc_node,generation_policy,jsonb,NN,생성규칙
generation_job,job_id,uuid,PK,비동기 Job
generation_job,tenant_id,uuid,"FK,NN",기관
generation_job,job_type,varchar(30),NN,TOC/CONTENT/AI_EDIT/SOP
generation_job,aggregate_type,varchar(30),NN,PLAN/DOCUMENT/SITUATION
generation_job,aggregate_id,uuid,NN,대상
generation_job,provider_code,varchar(30),NN,T3Q/UNI/UNE
generation_job,request_json,jsonb,NN,Adapter 요청
generation_job,status,varchar(20),NN,QUEUED~FAILED
generation_job,progress_pct,"numeric(5,2)",NN,진행률
generation_job,idempotency_key,varchar(100),NN,멱등키
generation_job,correlation_id,varchar(80),NN,추적
generation_job,error_json,jsonb,-,오류
generation_job,started_at,timestamptz,-,시작
generation_job,finished_at,timestamptz,-,종료
job_event,job_event_id,bigserial,PK,Job Event
job_event,job_id,uuid,"FK,NN",Job
job_event,sequence_no,bigint,NN,SSE 순번
job_event,event_type,varchar(40),NN,Event 종류
job_event,payload_json,jsonb,NN,내용
job_event,created_at,timestamptz,NN,생성
document,document_id,uuid,PK,문서
document,tenant_id,uuid,"FK,NN",기관
document,document_type,varchar(30),NN,PLAN/JOURNAL
document,title,varchar(300),NN,제목
document,source_file_id,uuid,FK,원본 HWPX
document,current_revision_id,uuid,FK,현재 Revision
document,status,varchar(30),NN,EDITING/REVIEW/APPROVED
document,owner_id,uuid,"FK,NN",소유자
document,created_at,timestamptz,NN,생성
document,updated_at,timestamptz,NN,수정
document_revision,revision_id,uuid,PK,Revision
document_revision,document_id,uuid,"FK,NN",문서
document_revision,revision_no,int,NN,순번
document_revision,parent_revision_id,uuid,FK,부모
document_revision,ir_json,jsonb,NN,Document IR
document_revision,ir_hash,char(64),NN,해시
document_revision,change_summary,text,-,변경요약
document_revision,created_by,uuid,"FK,NN",작성자
document_revision,created_at,timestamptz,NN,생성
document_block,block_id,uuid,PK,Block
document_block,revision_id,uuid,"FK,NN",Revision
document_block,stable_block_key,varchar(100),NN,안정 ID
document_block,block_type,varchar(30),NN,PARAGRAPH/TABLE/...
document_block,parent_block_id,uuid,FK,부모
document_block,sort_order,int,NN,순서
document_block,text_content,text,-,검색용 텍스트
document_block,style_ref,varchar(100),-,서식 참조
document_block,protection_state,varchar(20),NN,NONE/USER_LOCKED/SYSTEM_LOCKED
document_block,payload_json,jsonb,NN,IR 세부
change_set,change_set_id,uuid,PK,변경세트
change_set,document_id,uuid,"FK,NN",문서
change_set,base_revision_id,uuid,"FK,NN",기준
change_set,result_revision_id,uuid,FK,결과
change_set,client_mutation_id,varchar(100),NN,클라이언트 멱등키
change_set,selection_json,jsonb,NN,선택영역
change_set,status,varchar(20),NN,APPLIED/REJECTED
change_set,created_by,uuid,"FK,NN",사용자
change_set,created_at,timestamptz,NN,시각
change_operation,operation_id,uuid,PK,Operation
change_operation,change_set_id,uuid,"FK,NN",ChangeSet
change_operation,operation_order,int,NN,순서
change_operation,operation_type,varchar(40),NN,insertText 등
change_operation,target_json,jsonb,NN,대상
change_operation,before_json,jsonb,-,변경전
change_operation,after_json,jsonb,-,변경후
template_profile,template_profile_id,uuid,PK,Template Profile
template_profile,document_id,uuid,"FK,NN",문서
template_profile,profile_version,int,NN,버전
template_profile,analysis_status,varchar(20),NN,상태
template_profile,profile_json,jsonb,NN,Section/Style/Prototype
template_profile,unsupported_objects_json,jsonb,NN,미지원 객체
template_profile,analysis_hash,char(64),NN,해시
